Accel_x,Accel_y,Accel_z,Gyr_x,Gyr_y,Gyr_z
-0.08,0.05,1.02,-0.63,-4.83,0.56
-0.08,0.05,1.03,-1.19,-4.62,0.7
-0.08,0.05,1.04,-1.54,-4.06,0.07
-0.08,0.05,1.04,-1.61,-3.5,-0.49
-0.08,0.04,1.05,-0.84,-3.85,-0.42
-0.08,0.05,1.05,-0.21,-4.34,-0.42
-0.07,0.05,1.06,0.28,-3.99,-0.35
-0.07,0.06,1.04,0,-3.71,-0.63
-0.07,0.06,1.04,-0.07,-4.34,-1.47
-0.06,0.06,1.04,0.42,-4.55,-1.96
-0.06,0.06,1.03,1.61,-3.64,-2.03
-0.06,0.06,1.03,1.75,-2.87,-3.01
-0.07,0.06,1.02,1.12,-2.52,-3.22
-0.07,0.06,1.02,0.56,-2.8,-3.5
-0.07,0.06,1.02,0.35,-3.29,-3.5
-0.08,0.06,1.03,-0.14,-3.29,-3.92
-0.08,0.06,1.04,-0.14,-3.36,-4.55
-0.09,0.06,1.04,0.14,-3.5,-4.55
-0.09,0.06,1.05,0.63,-3.64,-3.78
-0.09,0.06,1.05,0.7,-3.43,-3.71
-0.08,0.05,1.05,1.54,-2.87,-3.43
-0.08,0.05,1.06,2.38,-2.59,-3.85
-0.08,0.06,1.06,3.08,-1.96,-4.34
-0.08,0.05,1.04,3.99,-2.31,-3.43
-0.08,0.06,1.04,4.06,-2.45,-3.01
-0.07,0.06,1.03,3.99,-2.1,-3.36
-0.07,0.06,1.02,3.22,-2.1,-3.99
-0.07,0.06,1.02,2.87,-2.59,-4.41
-0.06,0.05,1.02,2.8,-1.82,-4.9
-0.07,0.05,1.02,1.89,-0.35,-4.97
-0.08,0.05,1.01,0.98,-0.21,-5.04
-0.08,0.05,1.02,0,-0.98,-5.39
-0.07,0.04,1.03,-0.14,-1.26,-5.67
-0.07,0.04,1.04,0.49,-1.12,-5.95
-0.08,0.04,1.03,0.98,-1.12,-5.74
-0.08,0.05,1.03,0.14,-0.91,-5.11
-0.08,0.05,1.03,-0.42,-0.49,-5.11
-0.08,0.05,1.04,-0.42,-0.7,-5.18
-0.09,0.05,1.04,0.07,-1.19,-4.41
-0.09,0.05,1.03,0.56,-2.03,-4.41
-0.08,0.05,1.03,0.35,-2.17,-5.18
-0.09,0.05,1.03,0.21,-2.73,-5.18
-0.09,0.05,1.04,0.07,-2.87,-4.76
-0.09,0.04,1.04,0.49,-2.94,-3.71
-0.09,0.05,1.05,1.96,-2.8,-2.8
-0.09,0.07,1.05,-0.21,-2.73,-3.92
-0.08,0.03,1.05,1.12,-2.59,-3.71
-0.09,0.05,1.05,2.38,-2.03,-3.64
-0.09,0.05,1.04,2.45,-2.17,-3.92
-0.09,0.05,1.03,2.52,-2.03,-3.36
-0.09,0.05,1.03,2.17,-2.38,-3.43
-0.09,0.06,1.03,1.4,-2.73,-3.22
-0.08,0.05,1.03,1.19,-3.29,-3.36
-0.08,0.05,1.02,0.84,-3.71,-3.36
-0.08,0.05,1.02,0.07,-4.48,-3.29
-0.07,0.05,1.03,0.28,-4.2,-3.5
-0.07,0.05,1.03,0.42,-3.08,-3.92
-0.07,0.05,1.03,0.7,-2.24,-3.78
-0.07,0.05,1.03,-0.07,-1.61,-4.55
-0.07,0.06,1.03,-0.14,-1.19,-4.83
-0.08,0.06,1.03,-0.07,-2.1,-4.76
-0.08,0.06,1.03,-0.14,-2.73,-4.2
-0.08,0.06,1.04,-0.42,-2.45,-4.83
-0.08,0.06,1.04,-0.49,-2.24,-5.39
-0.09,0.06,1.04,0.14,-2.24,-4.62
-0.08,0.06,1.04,-0.07,-2.1,-3.99
-0.09,0.06,1.04,-0.07,-2.17,-2.94
-0.09,0.06,1.03,0.07,-2.87,-2.66
-0.09,0.06,1.03,-0.7,-3.36,-3.15
-0.08,0.06,1.04,-1.19,-2.94,-3.99
-0.08,0.05,1.04,-0.56,-2.45,-4.41
-0.1,0.05,1.04,-0.14,-2.24,-3.29
-0.1,0.05,1.04,-0.35,-2.38,-1.96
-0.1,0.05,1.03,-0.35,-2.59,-0.77
-0.09,0.05,1.03,0.14,-3.08,-0.14
-0.09,0.05,1.03,-0.14,-3.36,-0.14
-0.09,0.06,1.02,-0.49,-3.43,0.21
-0.09,0.05,1.03,-1.05,-3.36,0.28
-0.09,0.05,1.03,-1.12,-3.22,0.7
-0.09,0.06,1.03,-0.98,-3.64,1.12
-0.08,0.06,1.04,-0.7,-3.36,0.91
-0.08,0.06,1.04,-1.05,-2.59,0.84
-0.09,0.06,1.03,-1.19,-3.08,1.12
-0.08,0.06,1.04,-1.33,-3.22,1.47
-0.08,0.05,1.04,-1.26,-2.94,1.82
-0.08,0.05,1.04,-0.84,-3.01,1.61
-0.07,0.06,1.05,-0.14,-2.45,0.91
-0.07,0.05,1.05,0.14,-1.96,1.05
-0.08,0.05,1.05,0.35,-2.73,1.61
-0.08,0.05,1.05,0.77,-3.57,1.96
-0.07,0.06,1.05,1.26,-3.57,1.82
-0.07,0.06,1.05,1.26,-3.57,1.33
-0.07,0.06,1.05,1.61,-3.92,0.84
-0.07,0.06,1.05,2.1,-4.13,0.49
-0.07,0.05,1.05,2.66,-3.71,0.77
-0.07,0.06,1.04,2.03,-3.29,0.77
-0.07,0.05,1.04,1.47,-2.8,0.49
-0.08,0.05,1.04,1.4,-2.45,0.28
-0.08,0.05,1.04,2.31,-2.8,0.98
-0.09,0.05,1.04,2.87,-3.29,1.26
-0.09,0.05,1.03,2.31,-3.78,1.68
-0.09,0.05,1.03,1.82,-3.99,2.66
-0.09,0.05,1.03,1.26,-3.92,3.29
-0.09,0.05,1.03,0.56,-3.85,3.43
-0.08,0.04,1.04,0.42,-3.5,2.73
-0.08,0.04,1.04,0.91,-3.36,2.87
-0.09,0.05,1.04,1.05,-3.22,3.22
-0.09,0.05,1.04,1.12,-3.22,3.92
-0.09,0.05,1.04,0.91,-3.71,4.83
-0.08,0.05,1.04,0.7,-4.27,4.62
-0.07,0.05,1.05,0.98,-4.06,4.55
-0.07,0.05,1.05,1.54,-3.78,4.41
-0.07,0.05,1.05,2.1,-3.36,4.41
-0.07,0.05,1.05,2.17,-3.22,4.83
-0.07,0.05,1.04,2.45,-3.64,4.97
-0.07,0.05,1.04,2.66,-4.06,4.62
-0.06,0.05,1.04,2.87,-3.92,4.27
-0.06,0.05,1.04,3.01,-3.22,4.13
-0.06,0.05,1.03,3.22,-3.22,3.99
-0.07,0.05,1.03,3.01,-3.43,3.99
-0.06,0.05,1.03,2.8,-3.22,3.57
-0.06,0.05,1.03,2.45,-2.66,3.15
-0.07,0.05,1.02,2.31,-2.45,3.01
-0.07,0.05,1.02,2.1,-2.73,2.8
-0.07,0.05,1.03,1.54,-2.59,2.38
-0.07,0.05,1.03,1.05,-1.82,2.1
-0.07,0.04,1.02,0.98,-1.47,2.45
-0.07,0.04,1.02,1.12,-1.4,2.8
-0.08,0.04,1.02,0.77,-1.75,3.08
-0.08,0.04,1.02,0.35,-2.59,3.64
-0.08,0.04,1.02,0.35,-3.43,4.2
-0.07,0.04,1.02,0.14,-4.34,3.99
-0.07,0.05,1.02,0.07,-4.06,3.85
-0.07,0.05,1.02,-0.42,-2.52,3.78
-0.07,0.05,1.02,-1.47,-1.33,3.71
-0.08,0.05,1.03,-2.38,-1.12,4.48
-0.08,0.05,1.04,-2.87,-1.75,4.76
-0.08,0.04,1.05,-2.73,-2.38,5.25
-0.08,0.04,1.05,-2.03,-3.22,5.67
-0.07,0.05,1.06,-1.47,-3.64,5.46
-0.06,0.05,1.06,-0.63,-2.8,5.67
-0.06,0.05,1.05,0.49,-1.68,5.67
-0.06,0.05,1.04,0.98,-0.7,6.23
-0.07,0.06,1.03,0.63,-1.12,6.37
-0.06,0.06,1.03,0.21,-1.68,6.23
-0.06,0.06,1.03,-0.42,-1.68,5.6
-0.06,0.06,1.03,-1.26,-1.33,4.9
-0.07,0.06,1.04,-1.68,-1.54,4.27
-0.07,0.05,1.04,-1.82,-1.54,4.55
-0.07,0.05,1.05,-1.4,-1.68,4.9
-0.07,0.04,1.05,-0.56,-2.24,5.53
-0.07,0.04,1.05,1.05,-2.31,5.32
-0.06,0.05,1.04,2.17,-2.17,5.32
-0.06,0.05,1.03,2.38,-2.1,5.32
-0.06,0.05,1.03,1.89,-1.54,4.41
-0.07,0.05,1.03,1.54,-1.05,4.41
-0.07,0.05,1.02,1.12,-0.91,4.62
-0.07,0.05,1.02,0.21,-1.26,4.41
-0.08,0.05,1.02,-0.84,-1.47,4.27
-0.08,0.05,1.03,-0.84,-1.82,4.06
-0.08,0.04,1.03,-0.84,-1.75,4.69
-0.08,0.04,1.04,-0.56,-1.96,5.04
-0.08,0.04,1.05,0.35,-1.61,5.11
-0.08,0.04,1.05,1.33,-1.26,5.46
-0.08,0.04,1.04,1.75,-1.47,5.67
-0.08,0.04,1.04,1.54,-1.89,6.23
-0.08,0.04,1.03,1.26,-1.82,6.37
-0.07,0.04,1.03,1.05,-1.75,6.16
-0.07,0.04,1.02,0.7,-1.4,6.23
-0.07,0.05,1.03,0.14,-1.05,6.3
-0.07,0.04,1.03,-0.14,-0.7,5.67
-0.07,0.04,1.03,-0.14,-0.28,5.74
-0.08,0.04,1.03,-0.49,-0.07,6.16
-0.08,0.04,1.03,-0.7,-0.42,6.44
-0.08,0.03,1.04,0.21,-0.91,6.16
-0.07,0.03,1.04,0.77,-0.7,6.3
-0.08,0.03,1.03,0.7,-0.91,6.79
-0.08,0.03,1.04,1.19,-1.33,7.07
-0.06,0.03,1.04,2.1,0.07,6.02
-0.06,0.03,1.03,2.17,1.05,5.67
-0.07,0.04,1.02,2.03,0.56,5.95
-0.07,0.04,1.02,1.54,0.07,5.95
-0.06,0.04,1.03,1.26,0.42,4.9
-0.05,0.04,1.03,0.91,1.05,3.64
-0.06,0.04,1.03,1.12,1.12,2.59
-0.06,0.04,1.03,1.4,0.98,2.17
-0.06,0.04,1.03,0.98,1.12,2.24
-0.07,0.04,1.03,0.7,0.7,2.17
-0.07,0.05,1.03,0.42,-0.07,2.03
-0.07,0.05,1.04,0.63,0,0.21
-0.07,0.05,1.04,1.12,1.89,-1.26
-0.08,0.05,1.04,1.12,2.52,-1.4
-0.1,0.05,1.03,0.42,1.61,0.07
-0.1,0.05,1.04,0.42,0.42,1.05
-0.1,0.05,1.04,1.19,-0.28,2.17
-0.1,0.05,1.04,1.54,-1.33,3.29
-0.1,0.05,1.05,1.89,-1.75,2.66
-0.09,0.05,1.04,2.17,-0.42,1.61
-0.09,0.04,1.05,1.96,0.91,1.4
-0.1,0.05,1.04,1.4,1.47,2.87
-0.11,0.04,1.04,1.54,0.14,3.99
-0.1,0.04,1.04,1.96,-0.77,4.41
-0.1,0.04,1.04,1.47,-1.61,4.97
-0.1,0.04,1.04,0.7,-1.82,5.11
-0.1,0.04,1.04,1.05,-1.4,4.9
-0.1,0.04,1.03,0.98,-0.49,5.53
-0.1,0.03,1.03,0.84,-0.63,6.72
-0.1,0.03,1.03,1.47,-1.19,7.28
-0.1,0.03,1.03,1.47,-1.96,7.63
-0.1,0.03,1.02,0.98,-2.66,7.98
-0.09,0.03,1.02,0.56,-2.87,7.84
-0.09,0.03,1.02,0.42,-3.08,7.63
-0.09,0.03,1.02,0.28,-2.8,8.12
-0.09,0.03,1.01,0.07,-2.03,8.26
-0.09,0.03,1,0.07,-1.47,8.47
-0.1,0.04,1,-0.49,-1.47,7.77
-0.1,0.04,1.01,-0.91,-1.4,7.49
-0.11,0.03,1.01,-1.12,-1.96,8.19
-0.11,0.04,1.01,-0.35,-2.8,8.47
-0.11,0.04,1.01,-0.07,-2.87,8.19
-0.11,0.05,1.01,-0.07,-2.73,7.91
-0.11,0.05,1.01,-0.56,-2.73,7.84
-0.11,0.05,1.01,-1.05,-2.87,7.28
-0.11,0.05,1.02,-1.54,-2.59,5.88
-0.11,0.05,1.03,-1.96,-2.38,5.11
-0.12,0.05,1.04,-2.73,-2.8,4.27
-0.11,0.05,1.05,-3.85,-3.29,3.64
-0.12,0.04,1.07,-4.76,-3.43,2.52
-0.11,0.04,1.09,-5.6,-3.5,1.68
-0.11,0.03,1.1,-5.74,-3.29,0.84
-0.1,0.02,1.12,-4.69,-2.45,-0.98
-0.09,0.01,1.12,-3.36,-0.77,-1.54
-0.1,0.02,1.11,-1.47,-1.61,-1.68
-0.1,0.03,1.1,0.21,-3.22,-1.82
-0.09,0.03,1.09,1.61,-3.99,-2.24
-0.08,0.05,1.07,2.31,-4.27,-2.8
-0.08,0.06,1.04,1.68,-5.32,-3.71
-0.07,0.07,1.03,0.63,-6.44,-5.39
-0.07,0.07,1.02,0.56,-7.28,-5.32
-0.07,0.07,1.02,0.98,-8.05,-5.95
-0.07,0.08,1.02,0.49,-8.19,-7.7
-0.07,0.08,1.03,0,-8.05,-9.87
-0.08,0.08,1.04,0.14,-8.33,-11.41
-0.08,0.07,1.05,0.49,-8.05,-12.6
-0.09,0.07,1.06,1.89,-8.19,-13.44
-0.1,0.06,1.06,3.64,-8.96,-14.35
-0.1,0.06,1.07,5.81,-9.17,-15.4
-0.1,0.06,1.06,5.88,-9.03,-17.57
-0.11,0.05,1.06,6.23,-9.31,-19.46
-0.12,0.05,1.07,7.28,-10.29,-20.16
-0.12,0.04,1.07,9.38,-11.06,-20.44
-0.11,0.04,1.06,11.13,-11.27,-21.42
-0.11,0.04,1.05,11.76,-10.22,-23.24
-0.11,0.04,1.04,11.69,-8.54,-25.13
-0.12,0.03,1.04,12.04,-7,-26.53
-0.13,0.03,1.03,12.18,-5.6,-26.81
-0.13,0.03,1.02,12.04,-4.83,-27.3
-0.14,0.03,1.01,11.27,-4.41,-27.65
-0.14,0.03,1,10.15,-4.06,-27.44
-0.14,0.03,1,8.82,-3.78,-27.16
-0.13,0.03,1,7.28,-4.34,-26.32
-0.11,0.03,1.01,6.93,-4.27,-25.41
-0.08,0.04,1.01,6.72,-4.13,-25.06
-0.06,0.04,1.01,6.51,-3.99,-25.41
-0.05,0.05,1.01,5.39,-3.57,-26.25
-0.04,0.06,1.01,3.92,-2.52,-27.23
-0.04,0.06,1.02,2.03,-1.75,-28.49
-0.04,0.06,1.03,-0.35,-2.1,-29.47
-0.04,0.05,1.05,-1.19,-2.52,-30.45
-0.05,0.04,1.07,-1.19,-3.15,-30.8
-0.05,0.04,1.09,-0.42,-3.29,-31.22
-0.06,0.04,1.1,1.05,-3.57,-31.22
-0.07,0.04,1.1,2.38,-4.62,-31.15
-0.07,0.05,1.1,3.78,-4.97,-30.73
-0.08,0.05,1.09,5.04,-4.97,-30.45
-0.09,0.06,1.07,5.39,-5.32,-29.75
-0.09,0.06,1.06,5.11,-6.09,-29.82
-0.09,0.06,1.05,5.25,-6.23,-29.61
-0.1,0.06,1.04,5.53,-7.14,-29.54
-0.1,0.06,1.03,5.32,-7.42,-29.12
-0.1,0.06,1.02,4.9,-7.42,-28.84
-0.1,0.06,1.01,5.39,-7.07,-28.42
-0.1,0.06,1.01,5.39,-6.58,-27.51
-0.1,0.07,1,4.62,-5.53,-27.23
-0.1,0.06,0.99,4.06,-4.83,-26.39
-0.11,0.07,0.98,4.2,-5.74,-25.83
-0.11,0.06,0.98,4.27,-6.37,-25.41
-0.1,0.07,0.97,3.71,-5.74,-25.48
-0.1,0.06,0.97,2.1,-4.83,-25.2
-0.1,0.06,0.97,0.56,-3.64,-25.06
-0.1,0.06,0.98,-1.12,-2.03,-24.78
-0.11,0.05,0.98,-1.61,-1.75,-24.22
-0.12,0.05,0.99,-1.82,-1.89,-22.89
-0.12,0.05,1,-2.94,-1.61,-21.91
-0.12,0.04,1,-4.2,-1.61,-20.93
-0.12,0.04,1,-4.9,-1.96,-19.81
-0.12,0.04,1.02,-5.74,-2.1,-18.41
-0.11,0.03,1.04,-5.81,-0.49,-18.62
-0.11,0.03,1.04,-5.67,0.91,-18.2
-0.12,0.02,1.04,-5.39,0.35,-16.38
-0.11,0.03,1.04,-5.04,-0.84,-14.49
-0.09,0.03,1.04,-4.55,-1.12,-12.95
-0.08,0.04,1.04,-4.48,-0.98,-12.46
-0.07,0.05,1.04,-4.69,-0.91,-13.16
-0.05,0.05,1.03,-5.32,0.91,-14.84
-0.05,0.05,1.02,-5.46,1.4,-14.63
-0.06,0.06,1.02,-6.3,0.84,-13.44
-0.05,0.06,1.02,-7.14,-0.7,-13.09
-0.05,0.06,1.02,-7.35,-1.89,-12.53
-0.05,0.06,1.03,-8.4,-2.94,-12.53
-0.04,0.06,1.05,-8.4,-2.94,-13.72
-0.03,0.06,1.07,-7.91,-1.54,-15.47
-0.04,0.05,1.07,-7.42,-1.19,-15.68
-0.06,0.05,1.07,-6.3,-3.01,-14.98
-0.06,0.04,1.08,-4.83,-4.2,-13.86
-0.06,0.04,1.08,-3.29,-5.25,-12.74
-0.06,0.04,1.07,-2.1,-7.07,-12.18
-0.05,0.04,1.07,-0.42,-8.12,-12.25
-0.04,0.04,1.06,0.91,-7.49,-13.09
-0.04,0.04,1.06,0.98,-6.09,-14.49
-0.05,0.04,1.04,0.14,-5.46,-14.56
-0.06,0.02,1.04,-0.63,-6.58,-14.21
-0.05,0.02,1.05,0.21,-7.14,-13.79
-0.05,0.01,1.05,0.91,-6.86,-13.79
-0.06,0.01,1.04,1.47,-7.49,-13.86
-0.06,0.01,1.03,2.03,-9.1,-13.93
-0.05,0.02,1.03,1.96,-9.17,-14.63
-0.04,0.02,1.03,1.82,-7.63,-14.63
-0.05,0.02,1.03,1.12,-7.49,-15.12
-0.05,0.02,1.02,0.56,-8.05,-15.61
-0.04,0.02,1.03,0.56,-8.12,-16.17
-0.03,0.02,1.03,0.7,-7.21,-16.8
-0.03,0.02,1.03,0.7,-7.07,-17.43
-0.04,0.03,1.04,0.84,-8.05,-17.64
-0.04,0.03,1.04,1.19,-8.47,-18.13
-0.03,0.03,1.04,1.54,-8.19,-18.76
-0.03,0.03,1.04,2.1,-7.35,-19.67
-0.03,0.03,1.04,2.17,-6.16,-20.51
-0.04,0.03,1.04,1.82,-5.81,-21.07
-0.04,0.03,1.04,1.82,-5.74,-21.7
-0.05,0.02,1.05,2.24,-5.81,-22.05
-0.06,0.02,1.05,2.45,-5.88,-21.63
-0.06,0.02,1.05,2.03,-6.23,-21.84
-0.06,0.02,1.05,2.03,-6.02,-22.12
-0.05,0.01,1.05,2.8,-5.67,-22.26
-0.06,0.01,1.05,4.13,-5.46,-22.05
-0.06,0.01,1.04,4.83,-5.32,-21.98
-0.06,0.02,1.04,4.62,-4.9,-22.12
-0.06,0.02,1.03,4.27,-4.69,-22.4
-0.06,0.01,1.03,4.06,-4.62,-22.68
-0.06,0.02,1.03,3.64,-4.34,-22.47
-0.07,0.02,1.02,2.94,-4.9,-22.05
-0.07,0.01,1.02,2.03,-5.67,-21.91
-0.06,0.01,1.02,1.4,-5.88,-21.7
-0.06,0,1.03,0.63,-5.6,-20.72
-0.06,0.01,1.03,-0.28,-5.18,-20.65
-0.06,-0.01,1.04,-0.56,-5.04,-20.44
-0.05,-0.01,1.04,0.21,-5.25,-19.39
-0.05,0,1.05,0.49,-5.18,-18.83
-0.05,-0.01,1.04,0.21,-5.67,-18.62
-0.04,0,1.04,0.35,-6.16,-18.27
-0.04,0,1.03,-17.92,-6.79,-17.99
-0.03,0,1.02,-0.42,-7.42,-17.57
-0.03,0.01,1.02,-0.98,-8.19,-16.94
-0.02,0.01,1.01,-0.84,-8.26,-16.59
-0.02,0.02,1.01,-2.1,-8.47,-16.73
-0.02,0.02,1.01,-3.71,-9.31,-17.08
-0.01,0.02,1.02,-4.34,-9.73,-17.22
-0.01,0.02,1.03,-4.2,-9.87,-17.5
-0.01,0.02,1.04,-4.62,-9.73,-17.43
-0.02,0.01,1.04,-4.27,-10.64,-15.96
-0.03,0.02,1.04,-3.29,-12.25,-14.7
-0.02,0.02,1.05,-2.59,-12.74,-13.86
-0.01,0.03,1.05,-2.87,-12.88,-13.72
-0.01,0.04,1.06,-2.87,-13.23,-13.65
-0.01,0.04,1.06,-2.73,-13.37,-13.79
-0.01,0.05,1.06,-2.66,-13.86,-13.51
-0.01,0.05,1.06,-1.89,-14,-14
0,0.05,1.06,-1.75,-12.95,-14.84
-0.01,0.06,1.06,-2.03,-11.76,-15.19
-0.02,0.05,1.06,-1.54,-11.34,-15.82
-0.02,0.05,1.07,-0.49,-10.08,-16.17
-0.02,0.05,1.06,0.63,-8.75,-15.82
-0.03,0.05,1.05,1.26,-8.61,-15.47
-0.03,0.05,1.04,1.61,-8.89,-15.05
-0.03,0.05,1.04,1.82,-8.26,-14.84
-0.04,0.05,1.03,1.68,-7.84,-13.79
-0.03,0.05,1.03,1.61,-7.28,-13.51
-0.03,0.04,1.03,1.54,-6.37,-12.46
-0.04,0.04,1.02,1.75,-6.23,-11.69
-0.04,0.04,1.03,1.61,-5.81,-10.71
-0.04,0.03,1.03,1.75,-4.83,-9.24
-0.05,0.03,1.03,2.03,-4.2,-7.56
-0.05,0.03,1.04,2.45,-4.06,-6.3
-0.05,0.03,1.04,2.8,-4.13,-4.55
-0.05,0.03,1.03,3.01,-3.85,-2.24
-0.05,0.03,1.02,2.52,-3.85,0.07
-0.04,0.03,1.02,2.17,-3.85,1.89
-0.04,0.03,1.01,0.84,-4.06,3.5
-0.03,0.03,1.02,0.35,-4.83,4.62
-0.02,0.03,1.02,0,-4.9,6.09
-0.01,0.03,1.02,-0.56,-4.97,7.84
0,0.05,1.01,-2.87,-4.34,8.54
0,0.03,1.01,-3.43,-4.69,9.59
0.01,0.03,1.02,-3.85,-3.64,10.71
0.01,0.04,1.03,-4.06,-2.94,11.34
0.01,0.04,1.03,-4.62,-1.68,11.97
0.01,0.05,1.03,-6.16,-1.4,12.46
0.01,0.05,1.05,-6.93,-1.33,13.02
0.01,0.05,1.05,-7.56,-0.49,14.28
0.02,0.05,1.07,-7.77,1.61,14.42
0.02,0.05,1.07,-7.77,2.8,15.26
